	[Battleaxe] 6.0
CAERLEON: 341887	{21.05.2022 11:26}
BLACKMARKET: 309975	{21.05.2022 11:19}
	[Infernal-Staff] 7.2
CAERLEON: 800000	{21.05.2022 11:26}
BLACKMARKET: 815000	{21.05.2022 11:19}
	[Infernal-Staff] 8.0
CAERLEON: 249997	{21.05.2022 11:26}
BLACKMARKET: 276405	{21.05.2022 11:19}
	[Infernal-Staff] 8.1
CAERLEON: 760987	{21.05.2022 11:26}
BLACKMARKET: 718989	{21.05.2022 11:19}
	[Infernal-Staff] 8.2
CAERLEON: -1	{21.05.2022 11:27}
BLACKMARKET: 2079988	{21.05.2022 11:20}
	[Lifecurse-Staff] 6.0
CAERLEON: 64000	{21.05.2022 11:24}
BLACKMARKET: 64150	{21.05.2022 11:17}
	[Lifecurse-Staff] 6.1
CAERLEON: 175994	{21.05.2022 11:24}
BLACKMARKET: 166949	{21.05.2022 11:17}
	[Lifecurse-Staff] 6.2
CAERLEON: 367624	{21.05.2022 11:24}
BLACKMARKET: 349998	{21.05.2022 11:17}
	[Lifecurse-Staff] 7.0
CAERLEON: 149877	{21.05.2022 11:24}
BLACKMARKET: 143999	{21.05.2022 11:17}
	[Lifecurse-Staff] 7.1
CAERLEON: 404900	{21.05.2022 11:25}
BLACKMARKET: 397000	{21.05.2022 11:17}
	[Lifecurse-Staff] 7.2
CAERLEON: 899999	{21.05.2022 11:25}
BLACKMARKET: 799997	{21.05.2022 11:17}
	[Lifecurse-Staff] 8.0
CAERLEON: 419999	{21.05.2022 11:25}
BLACKMARKET: 420000	{21.05.2022 11:18}
	[Lifecurse-Staff] 8.1
CAERLEON: 949995	{21.05.2022 11:25}
BLACKMARKET: 998995	{21.05.2022 11:18}
	[Lifecurse-Staff] 8.2
CAERLEON: -1	{21.05.2022 11:25}
BLACKMARKET: 1777772	{21.05.2022 11:18}
	[Polehammer] 6.0
CAERLEON: 38994	{21.05.2022 11:27}
BLACKMARKET: 50800	{21.05.2022 11:20}
	[Polehammer] 6.1
CAERLEON: 85990	{21.05.2022 11:27}
BLACKMARKET: 113775	{21.05.2022 11:20}
	[Polehammer] 6.2
CAERLEON: 319994	{21.05.2022 11:27}
